Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Razor Hippogriff	som	17	W	3WW	5	Creature - Hippogriff	3	3	U	Flying When Razor Hippogriff enters the battlefield, return target artifact card from your graveyard to your hand. You gain life equal to that card's converted mana cost.
Revoke Existence	som	18	W	1W	2	Sorcery			C	Exile target artifact or enchantment.
Salvage Scout	som	19	W	W	1	Creature - Human Scout	1	1	C	{W}, Sacrifice Salvage Scout: Return target artifact card from your graveyard to your hand.
Seize the Initiative	som	20	W	W	1	Instant			C	Target creature gets +1/+1 and gains first strike until end of turn.
Soul Parry	som	21	W	1W	2	Instant			C	Prevent all damage one or two target creatures would deal this turn.
Sunblast Angel	som	22	W	4WW	6	Creature - Angel	4	5	R	Flying When Sunblast Angel enters the battlefield, destroy all tapped creatures.
Sunspear Shikari	som	23	W	1W	2	Creature - Cat Soldier	2	2	C	As long as Sunspear Shikari is equipped, it has first strike and lifelink.
Tempered Steel	som	24	W	1WW	3	Enchantment			R	Artifact creatures you control get +2/+2.
True Conviction	som	25	W	3WWW	6	Enchantment			R	Creatures you control have double strike and lifelink.
Vigil for the Lost	som	26	W	3W	4	Enchantment			U	Whenever a creature you control is put into a graveyard from the battlefield, you may pay {X}. If you do, you gain X life.
Whitesun's Passage	som	27	W	1W	2	Instant			C	You gain 5 life.
Argent Sphinx	som	28	U	2UU	4	Creature - Sphinx	4	3	R	Flying Metalcraft - {U}: Exile Argent Sphinx. Return it to the battlefield under your control at the beginning of the next end step. Activate this ability only if you control three or more artifacts.
Bonds of Quicksilver	som	29	U	3U	4	Enchantment - Aura			C	Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature doesn't untap during its controller's untap step.
Darkslick Drake	som	30	U	2UU	4	Creature - Drake	2	4	U	Flying When Darkslick Drake is put into a graveyard from the battlefield, draw a card.
Disperse	som	31	U	1U	2	Instant			C	Return target nonland permanent to its owner's hand.
Dissipation Field	som	32	U	2UU	4	Enchantment			R	Whenever a permanent deals damage to you, return it to its owner's hand.
Grand Architect	som	33	U	1UU	3	Creature - Vedalken Artificer	1	3	R	Other blue creatures you control get +1/+1. {U}: Target artifact creature becomes blue until end of turn. Tap an untapped blue creature you control: Add {2} to your mana pool. Spend this mana only to cast artifact spells or activate abilities of artifacts.
Halt Order	som	34	U	2U	3	Instant			U	Counter target artifact spell. Draw a card.
Inexorable Tide	som	35	U	3UU	5	Enchantment			R	Whenever you cast a spell, proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
Lumengrid Drake	som	36	U	3U	4	Creature - Drake	2	2	C	Flying Metalcraft - When Lumengrid Drake enters the battlefield, if you control three or more artifacts, return target creature to its owner's hand.
Neurok Invisimancer	som	37	U	1UU	3	Creature - Human Wizard	2	1	C	Neurok Invisimancer is unblockable. When Neurok Invisimancer enters the battlefield, target creature is unblockable this turn.
Plated Seastrider	som	38	U	UU	2	Creature - Beast	1	4	C	
Quicksilver Gargantuan	som	39	U	5UU	7	Creature - Shapeshifter	7	7	M	You may have Quicksilver Gargantuan enter the battlefield as a copy of any creature on the battlefield, except it's still 7/7.
Riddlesmith	som	40	U	1U	2	Creature - Human Artificer	2	1	U	Whenever you cast an artifact spell, you may draw a card. If you do, discard a card.
Scrapdiver Serpent	som	41	U	5UU	7	Creature - Serpent	5	5	C	Scrapdiver Serpent is unblockable as long as defending player controls an artifact.
Screeching Silcaw	som	42	U	1U	2	Creature - Bird	1	2	C	Flying Metalcraft - Whenever Screeching Silcaw deals combat damage to a player, if you control three or more artifacts, that player puts the top four cards of his or her library into his or her graveyard.
Shape Anew	som	43	U	3U	4	Sorcery			R	The controller of target artifact sacrifices it, then reveals cards from the top of his or her library until he or she reveals an artifact card. That player puts that card onto the battlefield, then shuffles all other cards revealed this way into his or her library.
Sky-Eel School	som	44	U	3UU	5	Creature  - Fish	3	3	C	Flying When Sky-Eel School enters the battlefield, draw a card, then discard a card.
Steady Progress	som	45	U	2U	3	Instant			C	Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.) Draw a card.
Stoic Rebuttal	som	46	U	1UU	3	Instant			C	Metalcraft - Stoic Rebuttal costs {1} less to cast if you control three or more artifacts. Counter target spell.
Thrummingbird	som	47	U	1U	2	Creature - Bird Horror	1	1	U	Flying Whenever Thrummingbird deals combat damage to a player, proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
Trinket Mage	som	48	U	2U	3	Creature - Human Wizard	2	2	U	When Trinket Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. If you do, shuffle your library.
Turn Aside	som	49	U	U	1	Instant			C	Counter target spell that targets a permanent you control.
Twisted Image	som	50	U	U	1	Instant			U	Switch target creature's power and toughness until end of turn. Draw a card.
Vault Skyward	som	51	U	U	1	Instant			C	Target creature gains flying until end of turn. Untap it.
Vedalken Certarch	som	52	U	U	1	Creature - Vedalken Wizard	1	1	C	Metalcraft - {T}: Tap target artifact, creature, or land. Activate this ability only if you control three or more artifacts.
Volition Reins	som	53	U	3UUU	6	Enchantment			U	Enchant permanent When Volition Reins enters the battlefield, if enchanted permanent is tapped, untap it. You control enchanted permanent.
Blackcleave Goblin	som	54	B	3B	4	Creature - Goblin Zombie	2	1	C	Haste Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Bleak Coven Vampires	som	55	B	3BB	5	Creature - Vampire Warrior	4	3	C	Metalcraft - When Bleak Coven Vampires enters the battlefield, if you control three or more artifacts, target player loses 4 life and you gain 4 life.
Blistergrub	som	56	B	2B	3	Creature - Horror	2	2	C	Swampwalk When Blistergrub is put into a graveyard from the battlefield, each opponent loses 2 life.
Carnifex Demon	som	57	B	4BB	6	Creature - Demon	6	6	R	Flying Carnifex Demon enters the battlefield with two -1/-1 counters on it. {B}, Remove a -1/-1 counter from Carnifex Demon: Put a -1/-1 counter on each other creature.
Contagious Nim	som	58	B	2B	3	Creature - Zombie	2	2	C	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Corrupted Harvester	som	59	B	4BB	6	Creature - Horror	6	3	U	{B}, Sacrifice a creature: Regenerate Corrupted Harvester.
Dross Hopper	som	60	B	1B	2	Creature - Insect Horror	2	1	C	Sacrifice a creature: Dross Hopper gains flying until end of turn.
Exsanguinate	som	61	B	XBB	2	Sorcery			U	Each opponent loses X life. You gain life equal to the life lost this way.
Flesh Allergy	som	62	B	2BB	4	Sorcery			U	As an additional cost to cast Flesh Allergy, sacrifice a creature. Destroy target creature. Its controller loses life equal to the number of creatures put into all graveyards from the battlefield this turn.
Fume Spitter	som	63	B	B	1	Creature - Horror	1	1	C	Sacrifice Fume Spitter: Put a -1/-1 counter on target creature.
Geth, Lord of the Vault	som	64	B	4BB	6	Legendary Creature - Zombie	5	5	M	Intimidate {X}{B}: Put target artifact or creature card with converted mana cost X from an opponent's graveyard onto the battlefield under your control tapped. Then that player puts the top X cards of his or her library into his or her graveyard.
Grasp of Darkness	som	65	B	BB	2	Instant			C	Target creature gets -4/-4 until end of turn.
Hand of the Praetors	som	66	B	3B	4	Creature - Zombie	3	2	R	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) Other creatures you control with infect get +1/+1. Whenever you cast a creature spell with infect, target player gets a poison counter.
Ichor Rats	som	67	B	1BB	3	Creature - Rat	2	1	U	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) When Ichor Rats enters the battlefield, each player gets a poison counter.
Instill Infection	som	68	B	3B	4	Instant			C	Put a -1/-1 counter on target creature. Draw a card.
Memoricide	som	69	B	3B	4	Sorcery			R	Name a nonland card. Search target player's graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles his or her library.
Moriok Reaver	som	70	B	2B	3	Creature - Human Warrior	3	2	C	
Necrogen Scudder	som	71	B	2B	3	Creature - Horror	3	3	U	Flying When Necrogen Scudder enters the battlefield, you lose 3 life.
Necrotic Ooze	som	72	B	2BB	4	Creature - Ooze	4	3	R	As long as Necrotic Ooze is on the battlefield, it has all activated abilities of all creature cards in all graveyards.
Painful Quandary	som	73	B	3BB	5	Enchantment			R	Whenever an opponent casts a spell, that player loses 5 life unless he or she discards a card.
Painsmith	som	74	B	1B	2	Creature - Human Artificer	2	1	U	Whenever you cast an artifact spell, you may have target creature get +2/+0 and gain deathtouch until end of turn.
Plague Stinger	som	75	B	1B	2	Creature - Insect Horror	1	1	C	Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Psychic Miasma	som	76	B	1B	2	Sorcery			C	Target player discards a card. If a land card is discarded this way, return Psychic Miasma to its owner's hand.
Relic Putrescence	som	77	B	2B	3	Enchantment - Aura			C	Enchant artifact Whenever enchanted artifact becomes tapped, its controller gets a poison counter.
Skinrender	som	78	B	2BB	4	Creature - Zombie	3	3	U	When Skinrender enters the battlefield, put three -1/-1 counters on target creature.
Skithiryx, the Blight Dragon	som	79	B	3BB	5	Legendary Creature - Dragon Skeleton	4	4	M	Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {B}: Skithiryx, the Blight Dragon gains haste until end of turn. {B}{B}: Regenerate Skithiryx.
Tainted Strike	som	80	B	B	1	Instant			C	Target creature gets +1/+0 and gains infect until end of turn. (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Arc Trail	som	81	R	1R	2	Sorcery			U	Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.
Assault Strobe	som	82	R	R	1	Sorcery			C	Target creature gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
Barrage Ogre	som	83	R	3RR	5	Creature - Ogre Warrior	3	3	U	{T}, Sacrifice an artifact: Barrage Ogre deals 2 damage to target creature or player.
Blade-Tribe Berserkers	som	84	R	3R	4	Creature - Human Berserker	3	3	C	Metalcraft - When Blade-Tribe Berserkers enters the battlefield, if you control three or more artifacts, Blade-Tribe Berserkers gets +3/+3 and gains haste until end of turn.
Bloodshot Trainee	som	85	R	3R	4	Creature - Goblin Warrior	2	3	U	{T}: Bloodshot Trainee deals 4 damage to target creature. Activate this ability only if Bloodshot Trainee's power is 4 or greater.
Cerebral Eruption	som	86	R	2RR	4	Sorcery			R	Target opponent reveals the top card of his or her library. Cerebral Eruption deals damage equal to the revealed card's converted mana cost to that player and each creature he or she controls. If a land card is revealed this way, return Cerebral Eruption to its owner's hand.
Embersmith	som	87	R	1R	2	Creature - Human Artificer	2	1	U	Whenever you cast an artifact spell, you may pay {1}. If you do, Embersmith deals 1 damage to target creature or player.
Ferrovore	som	88	R	2R	3	Creatures - Beast	2	2	C	{R}, Sacrifice an artifact: Ferrovore gets +3/+0 until end of turn.
Flameborn Hellion	som	89	R	5R	6	Creature - Hellion	5	4	C	Haste Flameborn Hellion attacks each turn if able.
Furnace Celebration	som	90	R	1RR	3	Enchantment			U	Whenever you sacrifice another permanent, you may pay {2}. If you do, Furnace Celebration deals 2 damage to target creature or player.
Galvanic Blast	som	91	R	R	1	Instant			C	Galvanic Blast deals 2 damage to target creature or player. Metalcraft - Galvanic Blast deals 4 damage to that creature or player instead if you control three or more artifacts.
Goblin Gaveleer	som	92	R	R	1	Creature - Goblin Warrior	1	1	C	Trample Goblin Gaveleer gets +2/+0 for each Equipment attached to it.
Hoard-Smelter Dragon	som	93	R	4RR	6	Creature - Dragon	5	5	R	Flying {3}{R}: Destroy target artifact. Hoard-Smelter Dragon gets +X/+0 until end of turn, where X is that artifact's converted mana cost.
Koth of the Hammer	som	94	R	2RR	4	Planeswalker - Koth	3		M	+1: Untap target Mountain. It becomes a 4/4 red Elemental creature until end of turn. It's still a land. -2: Add {R} to your mana pool for each Mountain you control. -5: You get an emblem with "Mountains you control have '{T}: This land deals 1 damage to target creature or player.'"
Kuldotha Phoenix	som	95	R	2RRR	5	Creature - Phoenix	4	4	R	Flying, haste Metalcraft - {4}: Return Kuldotha Phoenix from your graveyard to the battlefield. Activate this ability only during your upkeep and only if you control three or more artifacts.
Kuldotha Rebirth	som	96	R	R	1	Sorcery			C	As an additional cost to cast Kuldotha Rebirth, sacrifice an artifact. Put three 1/1 red Goblin creature tokens onto the battlefield.
Melt Terrain	som	97	R	2RR	4	Sorcery			C	Destroy target land. Melt Terrain deals 2 damage to that land's controller.
Molten Psyche	som	98	R	1RR	3	Sorcery			R	Each player shuffles the cards from his or her hand into his or her library, then draws that many cards. Metalcraft - If you control three or more artifacts, Molten Psyche deals damage to each opponent equal to the number of cards that player has drawn this turn.
Ogre Geargrabber	som	99	R	4RR	6	Creature - Ogre Warrior	4	4	U	Whenever Ogre Geargrabber attacks, gain control of target Equipment an opponent controls until end of turn. Attach it to Ogre Geargrabber. When you lose control of that Equipment, unattach it.
Oxidda Daredevil	som	100	R	1R	2	Creature - Goblin Artificer	2	1	C	Sacrifice an artifact: Oxidda Daredevil gains haste until end of turn.
Oxidda Scrapmelter	som	101	R	3R	4	Creature - Beast	3	3	U	When Oxidda Scrapmelter enters the battlefield, destroy target artifact.
Scoria Elemental	som	102	R	4R	5	Creature - Elemental	6	1	C	
Shatter	som	103	R	1R	2	Instant			C	Destroy target artifact.
Spikeshot Elder	som	104	R	R	1	Creature - Goblin Shaman	1	1	R	{1}{R}{R}: Spikeshot Elder deals damage equal to its power to target creature or player.
Tunnel Ignus	som	105	R	1R	2	Creature - Elemental	2	1	R	Whenever a land enters the battlefield under an opponent's control, if that player had another land enter the battlefield under his or her control this turn, Tunnel Ignus deals 3 damage to that player.
Turn to Slag	som	106	R	3RR	5	Sorcery			C	Turn to Slag deals 5 damage to target creature. Destroy all Equipment attached to that creature.
Vulshok Heartstoker	som	107	R	3R	3	Creature - Human Artificer	2	2	C	When Vulshok Heartstoker enters the battlefield, target creature gets +2/+0 until end of turn.
Acid Web Spider	som	108	G	3GG	5	Creature - Spider	3	5	U	Reach When Acid Web Spider enters the battlefield, you may destroy target Equipment.
Alpha Tyrranax	som	109	G	4GG	6	Creature - Beast	6	5	C	
Asceticism	som	110	G	3GG	5	Enchantment			R	Creatures you control can't be the targets of spells or abilities your opponents control. {1}{G}: Regenerate target creature.
Bellowing Tanglewurm	som	111	G	3GG	5	Creature - Wurm	4	4	U	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Other green creatures you control have intimidate.
Blight Mamba	som	112	G	1G	2	Creature - Snake	1	1	C	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {1}{G}: Regenerate Blight Mamba.
Blunt the Assault	som	113	G	3G	4	Instant			C	You gain 1 life for each creature on the battlefield. Prevent all combat damage that would be dealt this turn.
Carapace Forger	som	114	G	1G	2	Creature - Elf Artificer	2	2	C	Metalcraft - Carapace Forger gets +2/+2 as long as you control three or more artifacts.
Carrion Call	som	115	G	3G	4	Instant			U	Put two 1/1 green Insect creature tokens with infect onto the battlefield. (They deal damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Copperhorn Scout	som	116	G	G	1	Creature - Elf Scout	1	1	C	Whenever Copperhorn Scout attacks, untap each other creature you control.
Cystbearer	som	117	G	2G	3	Creature - Beast	2	3	C	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Engulfing Slagwurm	som	118	G	5GG	7	Creature - Wurm	7	7	R	Whenever Engulfing Slagwurm blocks or becomes blocked by a creature, destroy that creature. You gain life equal to that creature's toughness.
Ezuri, Renegade Leader	som	119	G	1GG	3	Legendary Creature - Elf Warrior	2	2	R	{G}: Regenerate another target Elf. {2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn.
Ezuri's Archers	som	120	G	G	1	Creature - Elf Archer	1	2	C	Reach (This creature can block creatures with flying.) Whenever Ezuri's Archers blocks a creature with flying, Ezuri's Archers gets +3/+0 until end of turn.
Ezuri's Brigade	som	121	G	2GG	4	Creature - Elf Warrior	4	4	R	Metalcraft - As long as you control three or more artifacts, Ezuri's Brigade gets +4/+4 and has trample.
Genesis Wave	som	122	G	XGGG	3	Sorcery			R	Reveal the top X cards of your library. You may put any number of permanent cards with converted mana cost X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield into your graveyard.
Liege of the Tangle	som	123	G	6GG	8	Creature - Elemental	8	8	M	Trample Whenever Liege of the Tangle deals combat damage to a player, you may choose any number of target lands you control and put an awakening counter on each of them. Each of those lands is an 8/8 green Elemental creature for as long as it has an awakening counter on it. They're still lands.
Lifesmith	som	124	G	1G	2	Creature - Human Artificer	2	1	U	Whenever you cast an artifact spell, you may pay {1}. If you do, you gain 3 life.
Molder Beast	som	125	G	4G	5	Creature - Beast	5	3	C	Trample Whenever an artifact is put into a graveyard from the battlefield, Molder Beast gets +2/+0 until end of turn.
Putrefax	som	126	G	3GG	5	Creature  - Horror	5	3	R	Trample, haste Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) At the beginning of the end step, sacrifice Putrefax.
Slice in Twain	som	127	G	2GG	4	Instant			U	Destroy target artifact or enchantment. Draw a card.
Tangle Angler	som	128	G	3GG	4	Creature - Horror	1	5	U	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {G}: Target creature blocks Tangle Angler this turn if able.
Tel-Jilad Defiance	som	129	G	1G	2	Instant			C	Target creature gains protection from artifacts until end of turn. Draw a card.
Tel-Jilad Fallen	som	130	G	2GG	4	Creature - Elf Warrior	3	1	C	Protection from artifacts Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Untamed Might	som	131	G	XG	1	Instant			C	Target creature gets +X/+X until end of turn.
Viridian Revel	som	132	G	1GG	3	Enchantment			U	Whenever an artifact is put into an opponent's graveyard from the battlefield, you may draw a card.
Wing Puncture	som	133	G	G	1	Instant			C	Target creature you control deals damage equal to its power to target creature with flying.
Withstand Death	som	134	G	G	1	Instant			C	Target creature is indestructible this turn. (Lethal damage and effects that say "destroy" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)
Venser, the Sojourner	som	135	WU	3WU	5	Planeswalker - Venser	3		M	+2: Exile target permanent you own. Return it to the battlefield under your control at the beginning of the next end step. -1: Creatures are unblockable this turn. -8: You get an emblem with "Whenever you cast a spell, exile target permanent."
Accorder's Shield	som	136	A	0	0	Artifact - Equipment			C	Equipped creature gets +0/+3 and has vigilance. Equip {3}
Argentum Armor	som	137	A	6	6	Artifact - Equipment			R	Equipped creature gets +6/+6. Whenever equipped creature attacks, destroy target permanent. Equip {6}
Auriok Replica	som	138	A	3	3	Artifact Creature - Cleric	2	2	C	{W}, Sacrifice Auriok Replica: Prevent all damage a source of your choice would deal to you this turn.
Barbed Battlegear	som	139	A	3	3	Artifact - Equipment			U	Equipped creature gets +4/-1. Equip {2}
Bladed Pinions	som	140	A	2	2	Artifact - Equipment			C	Equipped creature has flying and first strike. Equip {2}
Chimeric Mass	som	141	A	X	0	Artifact			R	Chimeric Mass enters the battlefield with X charge counters on it. {1}: Until end of turn, Chimeric Mass becomes a Construct artifact creature with "This creature's power and toughness are each equal to the number of charge counters on it."
Chrome Steed	som	142	A	4	4	Artifact Creature - Horse	2	2	C	Metalcraft - Chrome Steed gets +2/+2 as long as you control three or more artifacts.
Clone Shell	som	143	A	5	5	Artifact Creature - Shapeshifter	2	2	U	Imprint - When Clone Shell enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library in any order. When Clone Shell is put into a graveyard from the battlefield, turn the exiled card face up. If it's a creature card, put it onto the battlefield under your control.
Contagion Clasp	som	144	A	2	2	Artifact			U	When Contagion Clasp enters the battlefield, put a -1/-1 counter on target creature. {4}, {T}: Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
Contagion Engine	som	145	A	6	6	Artifact			R	When Contagion Engine enters the battlefield, put a -1/-1 counter on each creature target player controls. {4}, {T}: Proliferate, then proliferate again. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there. Then do it again.)
Copper Myr	som	146	A	2	2	Artifact Creature - Myr	1	1	C	{T}: Add {G} to your mana pool.
Corpse Cur	som	147	A	4	4	Artifact Creature - Hound	2	2	C	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) When Corpse Cur enters the battlefield, you may return target creature card with infect from your graveyard to your hand.
Culling Dais	som	148	A	2	2	Artifact			U	{T}, Sacrifice a creature: Put a charge counter on Culling Dais. {1}, Sacrifice Culling Dais: Draw a card for each charge counter on Culling Dais.
Darksteel Axe	som	149	A	1	1	Artifact - Equipment			U	Darksteel Axe is indestructible. (Effects that say "destroy" don't destroy it.) Equipped creature gets +2/+0. Equip {2}
Darksteel Juggernaut	som	150	A	5	5	Artifact Creature - Juggernaut	*	*	R	Darksteel Juggernaut's power and toughness are each equal to the number of artifacts you control. Darksteel Juggernaut is indestructible and attacks each turn if able.
Darksteel Myr	som	151	A	3	3	Artifact Creature - Myr	0	1	U	Darksteel Myr is indestructible. (Lethal damage and effects that say "destroy" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)
Darksteel Sentinel	som	152	A	6	6	Artifact Creature - Golem	3	3	U	Flash (You may cast this spell any time you could cast an instant.) Vigilance Darksteel Sentinel is indestructible. (Lethal damage and effects that say "destroy" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)
Echo Circlet	som	153	A	2	2	Artifact - Equipment			C	Equipped creature can block an additional creature. Equip {1}
Etched Champion	som	154	A	3	3	Artifact Creature - Soldier	2	2	R	Metalcraft - Etched Champion has protection from all colors as long as you control three or more artifacts.
Flight Spellbomb	som	155	A	1	1	Artifact			C	{T}, Sacrifice Flight Spellbomb: Target creature gains flying until end of turn. When Flight Spellbomb is put into a graveyard from the battlefield, you may pay {U}. If you do, draw a card.
Glint Hawk Idol	som	156	A	2	2	Artifact			C	Whenever another artifact enters the battlefield under your control, you may have Glint Hawk Idol become a 2/2 Bird artifact creature with flying until end of turn. {W}: Glint Hawk Idol becomes a 2/2 Bird artifact creature with flying until end of turn.
Gold Myr	som	157	A	2	2	Artifact Creature - Myr	1	1	C	{T}: Add {W} to your mana pool.
Golden Urn	som	158	A	1	1	Artifact			C	At the beginning of your upkeep, you may put a charge counter on Golden Urn. {T}, Sacrifice Golden Urn: You gain life equal to the number of charge counters on Golden Urn.
Golem Artisan	som	159	A	5	5	Artifact Creature - Golem	3	3	U	{2}: Target artifact creature gets +1/+1 until end of turn. {2}: Target artifact creature gains your choice of flying, trample, or haste until end of turn.
Golem Foundry	som	160	A	3	3	Artifact			C	Whenever you cast an artifact spell, you may put a charge counter on Golem Foundry. Remove three charge counters from Golem Foundry: Put a 3/3 colorless Golem artifact creature token onto the battlefield.
Golem's Heart	som	161	A	2	2	Artifact			U	Whenever a player casts an artifact spell, you may gain 1 life.
Grafted Exoskeleton	som	162	A	4	4	Artifact - Equipment			U	Equipped creature gets +2/+2 and has infect. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) Whenever Grafted Exoskeleton becomes unattached from a permanent, sacrifice that permanent. Equip {2}
Grindclock	som	163	A	2	2	Artifact			R	{T}: Put a charge counter on Grindclock. {T}: Target player puts the top X cards of his or her library into his or her graveyard, where X is the number of charge counters on Grindclock.
Heavy Arbalest	som	164	A	3	3	Artifact - Equipment			U	Equipped creature doesn't untap during its controller's untap step. Equipped creature has "{T}: This creature deals 2 damage to target creature or player." Equip {4}
Horizon Spellbomb	som	165	A	1	1	Artifact			C	{2}, {T}, Sacrifice Horizon Spellbomb: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library. When Horizon Spellbomb is put into a graveyard from the battlefield, you may pay {G}. If you do, draw a card.
Ichorclaw Myr	som	166	A	2	2	Artifact Creature - Myr	1	1	C	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) Whenever Ichorclaw Myr becomes blocked, it gets +2/+2 until end of turn.
Infiltration Lens	som	167	A	1	1	Artifact - Equipment			U	Whenever equipped creature becomes blocked by a creature, you may draw two cards. Equip {1}
Iron Myr	som	168	A	2	2	Artifact Creature - Myr	1	1	C	{T}: Add {R} to your mana pool.
Kuldotha Forgemaster	som	169	A	5	5	Artifact Creature - Construct	3	5	R	{T}, Sacrifice three artifacts: Search your library for an artifact card and put it onto the battlefield. Then shuffle your library.
Leaden Myr	som	170	A	2	2	Artifact Creature - Myr	1	1	C	{T}: Add {B} to your mana pool.
Liquimetal Coating	som	171	A	2	2	Artifact			U	{T}: Target permanent becomes an artifact in addition to its other types until end of turn.
Livewire Lash	som	172	A	2	2	Artifact - Equipment			R	Equipped creature gets +2/+0 and has "Whenever this creature becomes the target of a spell, this creature deals 2 damage to target creature or player." Equip {2}
Lux Cannon	som	173	A	4	4	Artifact			M	{T}: Put a charge counter on Lux Cannon. {T}, Remove three charge counters from Lux Cannon: Destroy target permanent.
Memnite	som	174	A	0	0	Artifact Creature - Construct	1	1	U	
